,Own children of the householder 6 to 17 years,Median household income (dollars),Mean household income (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,Total households,Total population,relation_max_fee,relation_min_fee,TRACTCE10,INTPTLAT,INTPTLONG,label
0,495.0,33750.0,50719.0,1954.0,865.0,4301.0,2248.0,4444.0,1003.0,943.0,10100.0,42.02,-87.67,1.0
1,934.0,40841.0,57921.0,1613.0,989.0,7007.0,2670.0,7197.0,1076.0,865.0,10201.0,42.02,-87.68,0.0
2,185.0,36563.0,46507.0,1201.0,943.0,2173.0,976.0,2487.0,1003.0,865.0,10202.0,42.02,-87.67,0.0
3,372.0,36870.0,66444.0,1533.0,948.0,5420.0,2982.0,6413.0,990.0,865.0,10300.0,42.02,-87.67,0.0
4,348.0,39634.0,53991.0,1765.0,979.0,3868.0,1870.0,5411.0,990.0,706.0,10400.0,42.01,-87.66,0.0
5,196.0,31985.0,43210.0,1519.0,945.0,4060.0,2348.0,4081.0,990.0,706.0,10501.0,42.01,-87.66,1.0
6,140.0,33721.0,45594.0,1695.0,957.0,2599.0,1505.0,2631.0,1052.0,706.0,10502.0,42.0,-87.66,1.0
7,41.0,19671.0,46195.0,2420.0,706.0,2020.0,1049.0,2047.0,1052.0,943.0,10503.0,42.0,-87.66,0.0
8,588.0,40576.0,61445.0,1750.0,990.0,6331.0,2993.0,6515.0,979.0,706.0,10600.0,42.01,-87.67,0.0
9,525.0,60798.0,71225.0,1595.0,1003.0,3833.0,1530.0,3833.0,1076.0,943.0,10701.0,42.01,-87.68,0.0
10,1038.0,39604.0,50639.0,1486.0,972.0,5255.0,2049.0,5333.0,1003.0,943.0,10702.0,42.01,-87.67,1.0
11,577.0,49318.0,70597.0,1352.0,1052.0,4157.0,1434.0,4208.0,1085.0,943.0,20100.0,42.02,-87.69,0.0
12,1288.0,87835.0,98878.0,2119.0,987.0,6778.0,2152.0,6905.0,1133.0,761.0,20200.0,42.02,-87.7,0.0
13,992.0,53254.0,84314.0,1666.0,761.0,5290.0,1987.0,5295.0,1143.0,987.0,20301.0,42.01,-87.71,0.0
14,813.0,69861.0,96046.0,1942.0,1085.0,4636.0,1710.0,5023.0,1133.0,761.0,20302.0,42.01,-87.69,0.0
