id,hospital_1,hospital_2,subway_1,subway_2,school_1,school_2
17031010100.0,5.0,11.0,1,1,1,1
17031010201.0,2.0,10.0,2,2,1,1
17031010202.0,3.0,11.0,1,1,1,1
17031010300.0,5.0,10.0,1,2,1,1
17031010400.0,7.0,8.0,1,2,1,2
17031010501.0,6.0,9.0,1,2,1,1
17031010502.0,7.0,7.0,1,1,1,1
17031010503.0,6.0,7.0,1,2,1,1
17031010600.0,6.0,9.0,1,3,1,1
17031010701.0,3.0,9.0,3,3,1,1
17031010702.0,4.0,10.0,2,2,1,1
17031020100.0,2.0,10.0,3,3,1,1
17031020200.0,3.0,9.0,4,4,1,1
17031020301.0,5.0,9.0,6,6,1,1
17031020302.0,4.0,8.0,5,5,1,1
17031020400.0,3.0,8.0,4,4,1,1
17031020500.0,6.0,6.0,5,5,1,1
17031020601.0,6.0,7.0,7,7,1,1
17031020602.0,5.0,6.0,6,6,1,1
17031020701.0,3.0,7.0,4,4,1,1
17031020702.0,5.0,8.0,6,6,1,1
17031020801.0,4.0,6.0,5,5,1,1
17031020802.0,5.0,6.0,6,6,1,1
17031020901.0,6.0,6.0,5,5,1,1
17031020902.0,5.0,5.0,4,4,1,1
17031030101.0,1.0,5.0,2,2,1,2
17031030102.0,1.0,5.0,1,2,1,1
17031030103.0,1.0,6.0,2,3,1,2
17031030104.0,1.0,6.0,2,3,1,2
17031030200.0,5.0,6.0,3,3,1,1
17031030300.0,6.0,6.0,3,4,1,1
17031030400.0,4.0,5.0,3,3,1,1
17031030500.0,4.0,4.0,2,3,1,1
17031030601.0,2.0,4.0,2,3,1,1
17031030603.0,4.0,4.0,1,2,1,1
17031030604.0,3.0,3.0,2,2,1,2
17031030701.0,3.0,3.0,1,2,1,2
17031030702.0,3.0,3.0,1,2,2,2
17031030703.0,3.0,3.0,1,1,1,2
17031030706.0,2.0,2.0,2,2,2,2
17031030800.0,2.0,4.0,1,2,1,1
17031030900.0,2.0,6.0,3,4,1,1
17031031000.0,1.0,4.0,3,3,1,1
17031031100.0,1.0,3.0,1,1,2,2
17031031200.0,2.0,2.0,1,1,1,1
17031031300.0,1.0,1.0,2,2,1,2
17031031400.0,3.0,5.0,4,4,1,1
17031031501.0,1.0,1.0,2,3,1,1
17031031502.0,1.0,2.0,1,2,1,1
17031031700.0,3.0,3.0,1,1,1,1
17031031800.0,1.0,4.0,3,3,1,2
17031031900.0,2.0,3.0,2,3,1,1
17031032100.0,1.0,3.0,2,3,1,1
17031040100.0,4.0,4.0,3,3,1,1
17031040201.0,1.0,3.0,2,3,1,1
17031040202.0,2.0,5.0,4,4,1,1
17031040300.0,1.0,5.0,2,2,1,1
17031040401.0,3.0,3.0,2,2,1,1
17031040402.0,2.0,4.0,1,3,1,1
17031040600.0,2.0,2.0,1,1,1,1
17031040700.0,2.0,2.0,1,2,1,2
17031040800.0,1.0,3.0,1,1,1,1
17031040900.0,2.0,2.0,2,2,1,1
17031050100.0,2.0,4.0,1,1,1,1
17031050200.0,3.0,3.0,3,3,1,1
17031050300.0,1.0,4.0,2,2,1,1
17031050500.0,5.0,5.0,5,5,1,1
17031050600.0,4.0,5.0,1,1,1,2
17031050700.0,6.0,7.0,1,2,1,1
17031050800.0,7.0,7.0,2,3,1,2
17031050900.0,6.0,6.0,3,4,1,1
17031051000.0,7.0,7.0,4,4,1,2
17031051100.0,7.0,8.0,3,3,1,1
17031051200.0,6.0,7.0,2,2,1,2
17031051300.0,6.0,8.0,3,4,1,1
17031051400.0,7.0,9.0,4,4,1,1
17031060100.0,3.0,3.0,2,3,1,1
17031060200.0,3.0,3.0,2,2,1,1
17031060300.0,5.0,5.0,2,2,1,1
17031060400.0,5.0,5.0,3,3,1,1
17031060500.0,3.0,5.0,2,3,1,2
17031060800.0,3.0,4.0,4,4,1,1
17031060900.0,3.0,4.0,4,4,1,1
