id,hospital_1,hospital_2,subway_1,subway_2,school_1,school_2
6037101110.0,4.0,8.0,10,10,1,1
6037101122.0,5.0,9.0,11,11,1,1
6037101210.0,4.0,8.0,10,10,1,1
6037101220.0,3.0,7.0,9,9,1,1
6037102103.0,6.0,7.0,9,9,1,1
6037102104.0,5.0,8.0,8,9,1,1
6037102105.0,5.0,8.0,8,8,1,2
6037102107.0,6.0,8.0,9,10,1,1
6037103101.0,6.0,10.0,12,12,1,1
6037103102.0,6.0,10.0,12,12,1,1
6037104103.0,5.0,9.0,15,15,1,1
6037104105.0,4.0,8.0,14,14,1,1
6037104108.0,4.0,8.0,14,14,1,1
6037104124.0,7.0,11.0,17,17,1,1
6037104201.0,11.0,13.0,100000,100000,1,1
6037104203.0,6.0,9.0,15,16,1,1
6037104204.0,6.0,10.0,16,16,1,1
6037104310.0,7.0,9.0,15,16,1,1
6037104320.0,5.0,8.0,14,15,1,1
6037104401.0,7.0,8.0,14,15,1,2
6037104403.0,7.0,7.0,13,14,1,1
6037104404.0,6.0,7.0,13,14,1,2
6037104610.0,5.0,6.0,12,13,1,1
6037104620.0,5.0,6.0,12,13,1,1
6037104701.0,4.0,7.0,13,14,1,1
6037104703.0,2.0,6.0,12,12,1,2
6037104704.0,3.0,7.0,13,13,1,1
6037104810.0,3.0,5.0,11,12,1,1
6037104822.0,4.0,4.0,10,11,1,1
6037106010.0,6.0,8.0,100000,100000,1,1
6037106020.0,6.0,8.0,100000,100000,1,2
6037106111.0,8.0,10.0,100000,100000,1,1
6037106112.0,9.0,11.0,100000,100000,1,1
6037106113.0,8.0,10.0,100000,100000,1,1
6037106114.0,8.0,10.0,100000,100000,1,1
6037106403.0,4.0,6.0,100000,100000,1,1
6037106405.0,6.0,8.0,100000,100000,1,1
6037106406.0,5.0,7.0,100000,100000,1,1
6037106407.0,5.0,7.0,100000,100000,1,1
6037106408.0,5.0,7.0,100000,100000,1,1
6037106510.0,4.0,6.0,100000,100000,1,1
6037106520.0,3.0,5.0,100000,100000,1,1
6037106603.0,9.0,9.0,14,14,1,1
6037106604.0,3.0,5.0,100000,100000,1,1
6037106641.0,9.0,9.0,14,14,1,1
6037106642.0,8.0,8.0,13,13,1,1
6037106643.0,8.0,8.0,13,13,1,1
6037106645.0,9.0,9.0,14,14,1,1
6037106646.0,8.0,10.0,15,15,1,1
6037106648.0,2.0,4.0,100000,100000,1,1
6037106649.0,1.0,3.0,100000,100000,1,1
6037107010.0,3.0,5.0,100000,100000,1,1
6037107020.0,2.0,4.0,100000,100000,1,1
6037108101.0,7.0,7.0,11,11,1,1
6037108102.0,6.0,7.0,11,11,1,1
6037108103.0,7.0,8.0,12,12,1,2
6037108104.0,7.0,8.0,12,12,1,2
6037108201.0,6.0,8.0,11,11,1,1
6037109601.0,6.0,7.0,12,13,1,1
6037109603.0,5.0,8.0,13,14,1,1
6037109604.0,6.0,8.0,13,14,1,1
6037111201.0,7.0,7.0,12,12,1,1
6037111202.0,6.0,6.0,11,11,1,1
6037111204.0,5.0,5.0,10,10,1,1
6037111205.0,4.0,4.0,9,9,1,1
6037111206.0,6.0,6.0,11,11,1,1
6037111301.0,5.0,5.0,10,10,1,1
6037111302.0,5.0,5.0,10,10,1,1
6037113101.0,6.0,9.0,9,9,1,1
6037113102.0,7.0,7.0,9,9,1,1
6037113211.0,5.0,7.0,9,9,1,2
6037113212.0,6.0,7.0,9,9,1,1
6037113213.0,6.0,7.0,9,9,1,2
6037113231.0,3.0,7.0,6,7,1,1
6037113232.0,5.0,7.0,7,7,1,1
6037113233.0,6.0,8.0,6,6,1,2
6037113234.0,7.0,8.0,5,5,1,2
6037113235.0,2.0,7.0,6,7,1,2
6037113237.0,6.0,6.0,8,8,1,2
6037113301.0,5.0,5.0,10,10,1,1
6037113303.0,8.0,8.0,7,7,1,1
6037113321.0,7.0,8.0,8,8,1,1
6037113322.0,7.0,7.0,8,8,1,1
6037113401.0,5.0,5.0,5,5,1,1
6037113421.0,8.0,8.0,6,6,1,1
6037113422.0,7.0,7.0,5,5,1,1
6037115101.0,3.0,3.0,8,8,1,1
6037115103.0,3.0,3.0,8,8,1,2
6037115104.0,2.0,2.0,7,7,1,1
6037115201.0,3.0,3.0,9,9,1,1
6037115202.0,2.0,2.0,8,8,1,2
6037115301.0,4.0,4.0,10,10,1,1
6037115302.0,4.0,4.0,6,6,1,1
6037115401.0,2.0,2.0,5,5,1,1
6037115403.0,1.0,1.0,7,7,1,1
6037115404.0,3.0,3.0,7,7,1,1
6037117101.0,3.0,6.0,12,13,1,1
