GEOID,label,TRACTCE10,NAME10,NAMELSAD10,INTPTLAT,INTPTLONG,long+,long-,lat+,lat-,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),relation_max_fee,relation_min_fee
17031010100.00,1.00,10100.00,101.00,Census Tract 101,42.02,-87.67,-87.67,-87.67,42.02,42.02,0.00,0.02,0.02,0.01,0.12,0.08,0.04,0.11,0.11,0.26,0.12,0.07,0.04,0.20,0.89,0.62,0.00,0.00,0.84,0.12,0.48,0.54,0.14,0.01,0.02,0.00,0.87,0.05,0.62,0.53,0.01,0.08,0.36,0.20,0.08,0.45,0.46,0.00,0.01,0.09,398.00,495.00,35.90,33750.00,50719.00,2626.00,3.20,10.30,3.70,250000.00,1954.00,650.00,865.00,4301.00,767.00,733.00,2248.00,4444.00,91.20,33.70,1003.00,943.00
17031010201.00,0.00,10201.00,102.01,Census Tract 102.01,42.02,-87.68,-87.68,-87.68,42.02,42.01,0.00,0.02,0.07,0.02,0.11,0.13,0.03,0.09,0.11,0.25,0.09,0.05,0.04,0.15,0.84,0.43,0.00,0.00,0.71,0.17,0.41,0.28,0.20,0.02,0.08,0.01,0.76,0.06,0.48,0.39,0.11,0.10,0.30,0.19,0.09,0.51,0.39,0.01,0.02,0.23,644.00,934.00,39.20,40841.00,57921.00,2994.00,0.00,5.30,4.00,150500.00,1613.00,714.00,989.00,7007.00,2710.00,2663.00,2670.00,7197.00,108.00,34.80,1076.00,865.00
17031010202.00,0.00,10202.00,102.02,Census Tract 102.02,42.02,-87.67,-87.67,-87.68,42.02,42.01,0.00,0.03,0.08,0.03,0.13,0.03,0.02,0.06,0.11,0.24,0.16,0.09,0.01,0.12,0.75,0.43,0.00,0.00,0.73,0.16,0.39,0.42,0.15,0.02,0.05,0.08,0.63,0.11,0.53,0.47,0.12,0.10,0.32,0.17,0.20,0.50,0.30,0.00,0.08,0.29,210.00,185.00,31.50,36563.00,46507.00,1216.00,5.80,7.00,3.50,168300.00,1201.00,813.00,943.00,2173.00,1022.00,963.00,976.00,2487.00,96.10,36.70,1003.00,865.00
17031010300.00,0.00,10300.00,103.00,Census Tract 103,42.02,-87.67,-87.66,-87.67,42.02,42.01,0.00,0.02,0.05,0.01,0.07,0.04,0.00,0.04,0.20,0.28,0.20,0.05,0.04,0.12,0.86,0.60,0.00,0.00,0.69,0.18,0.41,0.38,0.18,0.02,0.06,0.02,0.73,0.10,0.54,0.37,0.05,0.10,0.35,0.21,0.22,0.60,0.29,0.00,0.06,0.19,395.00,372.00,40.20,36870.00,66444.00,3395.00,0.00,5.50,3.50,174400.00,1533.00,597.00,948.00,5420.00,1608.00,1566.00,2982.00,6413.00,93.20,42.10,990.00,865.00
17031010400.00,0.00,10400.00,104.00,Census Tract 104,42.01,-87.66,-87.66,-87.66,42.01,42.00,0.01,0.01,0.02,0.00,0.14,0.03,0.03,0.05,0.11,0.33,0.20,0.09,0.00,0.13,0.94,0.81,0.00,0.00,0.82,0.23,0.39,0.38,0.12,0.01,0.01,0.04,0.55,0.09,0.70,0.69,0.01,0.01,0.64,0.33,0.10,0.70,0.22,0.00,0.06,0.07,306.00,348.00,33.60,39634.00,53991.00,2218.00,0.00,11.50,3.70,226200.00,1765.00,651.00,979.00,3868.00,613.00,585.00,1870.00,5411.00,82.50,23.80,990.00,706.00
17031010501.00,1.00,10501.00,105.01,Census Tract 105.01,42.01,-87.66,-87.66,-87.67,42.01,42.01,0.00,0.00,0.04,0.00,0.08,0.10,0.02,0.05,0.13,0.33,0.14,0.05,0.05,0.14,0.85,0.66,0.01,0.00,0.88,0.16,0.52,0.50,0.10,0.01,0.00,0.00,0.95,0.11,0.64,0.58,0.02,0.04,0.55,0.24,0.14,0.54,0.33,0.00,0.05,0.10,268.00,196.00,37.00,31985.00,43210.00,2606.00,0.00,9.50,3.50,184200.00,1519.00,0.00,945.00,4060.00,1085.00,1021.00,2348.00,4081.00,91.50,37.10,990.00,706.00
17031010502.00,1.00,10502.00,105.02,Census Tract 105.02,42.00,-87.66,-87.66,-87.67,42.01,42.00,0.00,0.01,0.03,0.01,0.08,0.07,0.02,0.04,0.14,0.29,0.20,0.10,0.01,0.09,0.85,0.69,0.00,0.00,0.82,0.21,0.49,0.48,0.08,0.05,0.02,0.00,0.60,0.05,0.59,0.64,0.01,0.05,0.52,0.28,0.09,0.61,0.25,0.00,0.09,0.06,64.00,140.00,36.10,33721.00,45594.00,1749.00,0.00,5.80,3.40,217800.00,1695.00,731.00,957.00,2599.00,733.00,675.00,1505.00,2631.00,110.80,31.60,1052.00,706.00
17031010503.00,0.00,10503.00,105.03,Census Tract 105.03,42.00,-87.66,-87.66,-87.67,42.00,42.00,0.00,0.00,0.07,0.01,0.11,0.03,0.02,0.11,0.09,0.19,0.26,0.10,0.01,0.34,0.94,0.63,0.00,0.03,0.81,0.14,0.49,0.55,0.07,0.05,0.03,0.04,0.44,0.31,0.62,0.58,0.11,0.10,0.38,0.35,0.32,0.73,0.07,0.00,0.14,0.14,101.00,41.00,36.80,19671.00,46195.00,1315.00,0.00,17.70,3.00,358500.00,2420.00,468.00,706.00,2020.00,570.00,554.00,1049.00,2047.00,93.50,30.90,1052.00,943.00
17031010600.00,0.00,10600.00,106.00,Census Tract 106,42.01,-87.67,-87.66,-87.67,42.01,42.00,0.01,0.01,0.04,0.01,0.11,0.04,0.05,0.08,0.15,0.34,0.08,0.10,0.01,0.11,0.80,0.66,0.00,0.00,0.79,0.16,0.47,0.39,0.13,0.01,0.02,0.04,0.73,0.07,0.62,0.57,0.05,0.03,0.47,0.29,0.07,0.62,0.22,0.00,0.02,0.23,336.00,588.00,39.20,40576.00,61445.00,3272.00,0.00,8.60,4.10,221700.00,1750.00,880.00,990.00,6331.00,1662.00,1591.00,2993.00,6515.00,107.70,32.50,979.00,706.00
17031010701.00,0.00,10701.00,107.01,Census Tract 107.01,42.01,-87.68,-87.68,-87.68,42.01,42.01,0.00,0.02,0.05,0.00,0.13,0.05,0.04,0.05,0.10,0.21,0.25,0.09,0.02,0.07,0.89,0.58,0.00,0.00,0.51,0.13,0.30,0.19,0.26,0.05,0.05,0.01,0.71,0.04,0.44,0.31,0.15,0.04,0.43,0.17,0.12,0.60,0.18,0.00,0.12,0.36,405.00,525.00,34.20,60798.00,71225.00,1697.00,0.90,4.90,4.70,198100.00,1595.00,807.00,1003.00,3833.00,1455.00,1352.00,1530.00,3833.00,91.10,36.10,1076.00,943.00
17031010702.00,1.00,10702.00,107.02,Census Tract 107.02,42.01,-87.67,-87.67,-87.68,42.01,42.01,0.00,0.01,0.06,0.04,0.12,0.04,0.03,0.09,0.07,0.26,0.22,0.05,0.01,0.07,0.80,0.48,0.00,0.00,0.77,0.19,0.45,0.34,0.14,0.02,0.08,0.07,0.85,0.03,0.56,0.52,0.15,0.06,0.44,0.18,0.03,0.58,0.23,0.00,0.07,0.39,378.00,1038.00,37.00,39604.00,50639.00,2250.00,1.50,5.20,4.10,156300.00,1486.00,632.00,972.00,5255.00,2176.00,2158.00,2049.00,5333.00,93.40,31.90,1003.00,943.00
17031020100.00,0.00,20100.00,201.00,Census Tract 201,42.02,-87.69,-87.68,-87.69,42.02,42.01,0.00,0.02,0.08,0.01,0.09,0.08,0.01,0.09,0.17,0.24,0.17,0.02,0.03,0.12,0.82,0.50,0.00,0.00,0.54,0.11,0.44,0.15,0.22,0.08,0.03,0.04,0.71,0.11,0.43,0.37,0.09,0.12,0.32,0.09,0.15,0.34,0.25,0.00,0.24,0.23,383.00,577.00,31.10,49318.00,70597.00,1708.00,0.00,19.40,4.10,139400.00,1352.00,576.00,1052.00,4157.00,1759.00,1686.00,1434.00,4208.00,86.00,36.10,1085.00,943.00
17031020200.00,0.00,20200.00,202.00,Census Tract 202,42.02,-87.70,-87.70,-87.70,42.02,42.01,0.00,0.03,0.04,0.03,0.06,0.13,0.00,0.08,0.12,0.32,0.11,0.06,0.02,0.09,0.89,0.66,0.00,0.00,0.25,0.06,0.26,0.03,0.39,0.12,0.04,0.01,0.76,0.03,0.25,0.30,0.04,0.09,0.47,0.11,0.17,0.64,0.14,0.00,0.14,0.17,902.00,1288.00,32.30,87835.00,98878.00,2246.00,2.40,7.80,6.00,337300.00,2119.00,730.00,987.00,6778.00,2286.00,2142.00,2152.00,6905.00,92.30,35.20,1133.00,761.00
17031020301.00,0.00,20301.00,203.01,Census Tract 203.01,42.01,-87.71,-87.70,-87.71,42.01,42.00,0.00,0.03,0.06,0.03,0.10,0.04,0.03,0.09,0.14,0.34,0.04,0.10,0.01,0.11,0.95,0.69,0.00,0.00,0.27,0.06,0.36,0.20,0.31,0.06,0.05,0.00,0.58,0.28,0.27,0.19,0.03,0.05,0.57,0.10,0.28,0.80,0.04,0.00,0.13,0.08,577.00,992.00,31.30,53254.00,84314.00,2225.00,0.50,11.20,4.70,182900.00,1666.00,810.00,761.00,5290.00,1938.00,1799.00,1987.00,5295.00,98.10,39.70,1143.00,987.00
17031020302.00,0.00,20302.00,203.02,Census Tract 203.02,42.01,-87.69,-87.69,-87.70,42.01,42.01,0.01,0.03,0.06,0.01,0.13,0.06,0.05,0.08,0.12,0.33,0.08,0.02,0.03,0.06,0.89,0.73,0.00,0.00,0.44,0.08,0.36,0.20,0.30,0.05,0.03,0.01,0.74,0.10,0.41,0.35,0.03,0.05,0.56,0.18,0.17,0.70,0.13,0.01,0.11,0.15,415.00,813.00,33.50,69861.00,96046.00,1895.00,8.90,6.30,5.20,323000.00,1942.00,687.00,1085.00,4636.00,1433.00,1399.00,1710.00,5023.00,95.20,37.90,1133.00,761.00
17031020400.00,0.00,20400.00,204.00,Census Tract 204,42.01,-87.69,-87.68,-87.69,42.01,42.01,0.00,0.03,0.05,0.06,0.07,0.09,0.02,0.06,0.09,0.31,0.11,0.07,0.03,0.05,0.88,0.54,0.00,0.01,0.49,0.13,0.31,0.14,0.34,0.02,0.02,0.01,0.66,0.12,0.39,0.35,0.07,0.05,0.47,0.14,0.17,0.54,0.23,0.00,0.16,0.18,288.00,802.00,35.00,59705.00,79531.00,1844.00,0.00,9.10,5.00,242100.00,1813.00,583.00,1076.00,4531.00,1649.00,1554.00,1743.00,4551.00,87.50,37.60,1133.00,982.00
17031020500.00,0.00,20500.00,205.00,Census Tract 205,42.00,-87.68,-87.68,-87.69,42.00,42.00,0.00,0.05,0.10,0.04,0.10,0.19,0.04,0.01,0.08,0.13,0.22,0.04,0.01,0.13,0.76,0.34,0.01,0.00,0.74,0.15,0.47,0.22,0.20,0.08,0.07,0.00,0.58,0.12,0.47,0.29,0.18,0.11,0.33,0.12,0.16,0.42,0.15,0.00,0.29,0.30,704.00,684.00,32.70,40090.00,49917.00,2479.00,0.00,11.40,4.30,120100.00,1463.00,424.00,982.00,6295.00,3364.00,3342.00,2144.00,6545.00,105.10,32.30,1153.00,940.00
17031020601.00,0.00,20601.00,206.01,Census Tract 206.01,42.00,-87.70,-87.70,-87.71,42.00,42.00,0.00,0.01,0.09,0.00,0.24,0.06,0.01,0.07,0.09,0.25,0.10,0.07,0.01,0.13,0.90,0.49,0.01,0.00,0.58,0.15,0.30,0.17,0.21,0.06,0.10,0.04,0.69,0.13,0.40,0.31,0.09,0.05,0.40,0.16,0.18,0.60,0.10,0.03,0.23,0.06,593.00,1059.00,28.10,39282.00,70241.00,2216.00,0.00,7.90,5.00,302700.00,1904.00,641.00,1054.00,6098.00,3383.00,3130.00,1987.00,6130.00,91.70,37.40,1373.00,761.00
